Report Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOM_Zn-CAFETERIA 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conditions at Time of Space Cooling Peak,,,,,,,,,,,,,,,,,,,,,,,Conditions at Time of Space Heating Peak,,,,,,,,,,,,,,,,,,,,,,
,,Peak Time (Mo/D/H:M),,,,,10/21 15:00:00,,,,,,,,,,,,,,,,,,Peak Time (Mo/D/H:M),,,,,1/21 15:00:00,,,,,,,,,,,,,,,
,,Outside,,,DB / WB / HR,,71.5,,,°F,/,,58.9,°F,,/,57.3,,gr/lb,,,,,,Outside,,,DB / WB / HR,,6.6,,,°F,/,,,4.0,°F,,/,3.4,,gr/lb,,
,,Room,,,DB / RH / HR,,78.0,,,°F,/,,53.5,%,,/,76.5,,gr/lb,,,,,,Room,,,DB / RH / HR,,73.0,,,°F,/,,,3.4,%,,/,4.1,,gr/lb,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time,,,,,,,,,,,,,,Percent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instant,,Delay,,,,,,,,,,,,,,of
,,,,,,,,Time,,,,,,,,,,,,,Percent,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sensible,,Sensible,,,,Latent,,,,Total,,,,,,Total
,,,,,,Instant,,Delay,,,,,,,,,,,,,of,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Btu/h),,(Btu/h),,,,(Btu/h),,,,(Btu/h),,,,,,(%)
,,,,,,Sensible,,Sensible,,,,Latent,,,Total,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Roof,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
,,,,,,(Btu/h),,(Btu/h),,,,(Btu/h),,,(Btu/h),,,,,,(%),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Other Roof,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
Roof,,,,,,0,,1,,,,0,,,1,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Glass,,,,,,"-40,270",,0,,,,0,,,,"-40,270",,,,,,53.8
Other Roof,,,,,,0,,0,,,,0,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Door,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
Glass,,,,,,"26,066",,"85,955",,,,0,,,"112,020",,,,,,59.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Wall,,,,,,0,,-380,,,,0,,,,-380,,,,,,0.5
Door,,,,,,0,,0,,,,0,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Below-Grade Wall,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
Wall,,,,,,0,,318,,,,0,,,318,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Other Wall,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
Below-Grade Wall,,,,,,0,,0,,,,0,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Partition,,,,,,0,,11,,,,0,,,,11,,,,,,0.0
Other Wall,,,,,,0,,0,,,,0,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Exterior Floor,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
Partition,,,,,,0,,"2,250",,,,0,,,"2,250",,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Interior Floor,,,,,,0,,"-3,440",,,,0,,,,"-3,440",,,,,,4.6
Exterior Floor,,,,,,0,,0,,,,0,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Slab,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
Interior Floor,,,,,,0,,"-4,909",,,,0,,,"-4,909",,,,,,-2.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Other Floor,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
Slab,,,,,,0,,0,,,,0,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Infiltration,,,,,,"-30,430",,0,,,,0,,,,"-30,619",,,,,,40.9
Other Floor,,,,,,0,,0,,,,0,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Envelope Subtotal,,,,,,"-70,700",,"-3,809",,,,0,,,,"-74,699",,,,,,-
Infiltration,,,,,,"-1,312",,0,,,,"-2,476",,,"-3,787",,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,People,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
Envelope Subtotal,,,,,,"24,754",,"83,614",,,,-2476,,,"105,892",,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Lights,,,,,,0,,0,,,,0,,,,0,,,,,,0.0
People,,,,,,"20,208",,"21,916",,,,"48,113",,,"90,237",,,,,,47.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,RA Sensible (Lights),,,,,,0,,0,,,,0,,,,0,,,,,,0.0
Lights,,,,,,"2,452",,"2,940",,,,0,,,"5,392",,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,
